SOURCE_RID,RID,ENTITY_TYPE,ENTITY_ID,ENTITY_NAME,PRIMARY_COORD_SYSTEM,LONGITUDE,LATITUDE,UTM_ZONE,UTM_EASTING,UTM_NORTHING,GEO_STATE_NAME,GEO_STATE_FIPS,GEO_COUNTY_NAME,GEO_COUNTY_FIPS,GEO_CITY_NAME,GEO_ZIP_CODE,GEO_ADDRESS_1
101783806,101783964,SOURCE,27137SW163,NA,NA,-92.59489,46.85832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783666,101783894,SOURCE,27015SW089,NA,NA,-94.59898,44.28121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783668,101783895,SOURCE,27017SW102,NA,NA,-92.49376,46.66093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783670,101783896,SOURCE,27017SW253,NA,NA,-92.73214,46.45565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783672,101783897,SOURCE,27021SW169,NA,NA,-94.0346,46.95632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783674,101783898,SOURCE,27021SW179,NA,NA,-94.51495,46.97401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783676,101783899,SOURCE,27021SW033,NA,NA,-94.39863,46.59581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783678,101783900,SOURCE,27023SW052,NA,NA,-95.62777,44.94401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783684,101783903,SOURCE,27031SW294,NA,NA,-90.22947,47.82989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783686,101783904,SOURCE,27033SW143,NA,NA,-95.20298,43.94713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783688,101783905,SOURCE,27035SW181,NA,NA,-93.95903,46.49847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783690,101783906,SOURCE,27035SW376,NA,NA,-94.08089,46.43312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783692,101783907,SOURCE,27035SW111,NA,NA,-94.07027,46.43574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783694,101783908,SOURCE,27035SW243,NA,NA,-94.12105,46.74025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783696,101783909,SOURCE,27037SW016,NA,NA,-93.04766,44.79141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783698,101783910,SOURCE,27037SW050,NA,NA,-92.92834,44.57291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783700,101783911,SOURCE,27037SW057,NA,NA,-93.29483,44.79392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783702,101783912,SOURCE,27039SW121,NA,NA,-92.75634,44.0468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783704,101783913,SOURCE,27041SW029,NA,NA,-95.3294,45.95675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783874,101783998,SOURCE,27171SW117,NA,NA,-94.18804,45.23038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783876,101783999,SOURCE,27171SW044,NA,NA,-93.68221,45.17989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783878,101784000,SOURCE,27173SW042,NA,NA,-95.62537,44.85242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783638,101783880,SOURCE,27001SW145,NA,NA,-93.73754,46.46384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783640,101783881,SOURCE,27001SW150,NA,NA,-93.52586,46.27035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783646,101783884,SOURCE,27003SW008,NA,NA,-93.15591,45.17651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783654,101783888,SOURCE,27007SW051,NA,NA,-94.90263,47.48943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783656,101783889,SOURCE,27007SW031,NA,NA,-94.89169,47.50635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783658,101783890,SOURCE,27011SW096,NA,NA,-96.69618,45.5483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783660,101783891,SOURCE,27013SW087,NA,NA,-94.09552,44.12383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783662,101783892,SOURCE,27013SW113,NA,NA,-94.12913,44.16888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783664,101783893,SOURCE,27013SW064,NA,NA,-94.12587,44.16828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783830,101783976,SOURCE,27137SW405,NA,NA,-92.48176,47.52763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783832,101783977,SOURCE,27137SW177,NA,NA,-92.2245,47.81077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783834,101783978,SOURCE,27137SW065,NA,NA,-92.15916,46.85352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783836,101783979,SOURCE,27145SW018,NA,NA,-94.76115,45.67746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783838,101783980,SOURCE,27145SW172,NA,NA,-94.69174,45.36301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783840,101783981,SOURCE,27145SW116,NA,NA,-94.93201,45.72447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783844,101783983,SOURCE,27147SW131,NA,NA,-93.11093,43.9558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783846,101783984,SOURCE,27149SW066,NA,NA,-95.89039,45.56138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783848,101783985,SOURCE,27151SW108,NA,NA,-95.57444,45.32906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783850,101783986,SOURCE,27153SW078,NA,NA,-94.72415,46.30041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783852,101783987,SOURCE,27153SW039,NA,NA,-94.76562,45.98179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783854,101783988,SOURCE,27157SW154,NA,NA,-91.98826,44.2529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783856,101783989,SOURCE,27159SW114,NA,NA,-95.12359,46.64873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783858,101783990,SOURCE,27159SW007,NA,NA,-95.15014,46.47445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783860,101783991,SOURCE,27161SW100,NA,NA,-93.50136,44.00905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783862,101783992,SOURCE,27163SW001,NA,NA,-92.91866,45.0087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783864,101783993,SOURCE,27165SW081,NA,NA,-94.54428,43.97693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
