entity_id,source_name,long.x,lat.x,long.y,lat.y,long_diff,lat_diff,check_coords,lat_correct,long_correct,notes
27131POTW04,Nerstrand WWTP,-93.06820033,44.33639205,-93.0682003,44.3363917,-3.00E-08,3.50E-07,don't check,,,
27137POTW11,Mountain Iron WWTP,-92.61490167,47.51302152,-92.61489419,47.51301371,-7.48E-06,7.81E-06,don't check,,,
27151POTW03,Appleton WWTP,-96.03245626,45.20187762,-96.0324292,45.2018266,-2.71E-05,5.10E-05,don't check,,,
27047POTW03,Albert Lea WWTP,-93.30197628,43.6058976,-93.3084238,43.6059795,0.00644752,-8.19E-05,done,43.6058976,-93.30197628,
27049POTW07,Zumbrota WWTP,-92.66660216,44.30052286,-92.6666021,44.3005228,-6.00E-08,6.00E-08,don't check,,,
27079POTW01,Le Center WWTP,-93.73727631,44.377738,-93.7372993,44.3777378,2.30E-05,2.00E-07,don't check,,,
27103POTW01,Saint Peter city of,-93.95740632,44.33962873,NA,NA,NA,NA,done,"44.34103945756453,",-93.95783332,
27103POTW03,Saint George District Sewer System,-94.53492827,44.38929684,-94.5349812,44.3929303,5.29E-05,-0.00363346,check,,,Cant find
27127POTW08,Redwood Falls WWTP,-95.10811858,44.57040689,-95.1081185,44.5704068,-8.00E-08,9.00E-08,don't check,,,
27139POTW02,Jordan WWTP,-93.63050892,44.67969585,-93.6305229,44.6797056,1.40E-05,-9.75E-06,don't check,,,
27137POTW03,Aurora WWTP,-92.24751086,47.51712406,-92.2475108,47.517124,-6.00E-08,6.00E-08,don't check,,,
27137POTW08,Orr WWTP,-92.83238152,48.04601826,-92.8326087,48.0463069,2.27E-04,-2.89E-04,don't check,,,
27161POTW03,Waldorf WWTP,-93.702814,43.936856,-93.69472441,43.93508981,-0.00808959,0.00176619,done,43.936856,-93.702814,
27171POTW14,Annandale/Maple Lake/Howard Lake WWTP,-94.03329442,45.17859876,-94.033294,45.1785788,-4.20E-07,2.00E-05,don't check,,,
27047POTW01,Emmons WWTP,-93.4951657,43.49977738,-93.4951911,43.4997772,2.54E-05,1.80E-07,don't check,,,
27053POTW02,Greenfield WWTP,-93.73160088,45.0813762,-93.72991151,45.08146626,-0.00168937,-9.01E-05,done,45.0813762,-93.73160088,
27071POTW06,ISD 363 - Indus School,-93.90086774,48.63082038,-93.9008828,48.6308101,1.51E-05,1.03E-05,don't check,,,
27079POTW04,MRVPUC WWTP,-93.90383704,44.47514862,-93.903837,44.4751486,-4.00E-08,2.00E-08,don't check,,,
27055POTW04,Houston WWTP,-91.56581321,43.76128793,-91.5658132,43.7612879,-1.00E-08,3.00E-08,don't check,,,
27091POTW03,Trimont WWTP,-94.70716648,43.76737162,-94.7048324,43.7684252,-0.00233408,-0.00105358,done,"43.76900002677349,",-94.70519575,
27105POTW01,Worthington WWTP,-95.57515988,43.64520619,-95.5751598,43.6452061,-8.00E-08,9.00E-08,don't check,,,
27133POTW01,Luverne WWTP,-96.20532416,43.65446257,-96.20532509,43.65446497,9.30E-07,-2.40E-06,don't check,,,
27139POTW01,New Prague WWTP,-93.56783818,44.55815448,-93.5678381,44.5581544,-8.00E-08,8.00E-08,don't check,,,
27137POTW05,Babbitt WWTP,-91.96423912,47.70707358,-91.9639753,47.7068618,-2.64E-04,2.12E-04,don't check,,,
27151POTW01,Benson WWTP,-95.61617613,45.31657599,-95.6161827,45.3165758,6.57E-06,1.90E-07,don't check,,,
27161POTW01,Waseca WWTP,-93.54698011,44.07016352,-93.5469283,44.0700317,-5.18E-05,1.32E-04,don't check,,,
27171POTW19,Cokato WWTP,-94.16430865,45.09157977,-94.1643087,45.0915833,5.00E-08,-3.53E-06,don't check,,,
27053POTW01,Rogers WWTP,-93.56045758,45.20502935,-93.55302147,45.18972011,-0.00743611,0.01530924,done,"45.20113331054942,",-93.5622382,
27079POTW02,Montgomery WWTP,-93.59286676,44.45902977,-93.58241869,44.437548,-0.01044807,0.02148177,done,"44.45907572541689,",-93.59733,
27055POTW07,Spring Grove WWTP,-91.64022132,43.55483117,-91.6402213,43.5548311,-2.00E-08,7.00E-08,don't check,,,
27091POTW01,Welcome WWTP,-94.6152546,43.67784787,-94.6150686,43.6781426,-1.86E-04,-2.95E-04,don't check,,,
27107POTW01,Halstad WWTP,-96.81980851,47.35323842,-96.82941735,47.35036451,0.00960884,0.00287391,done,"47.35187972592154,",-96.83240725,
27129POTW03,Franklin WWTP,-94.88863037,44.52360618,-94.8886201,44.5236063,-1.03E-05,-1.20E-07,don't check,,,
27137POTW09,Virginia WWTP,-92.552929,47.50107962,-92.5529415,47.5010712,1.25E-05,8.42E-06,don't check,,,
27151POTW02,Kerkhoven WWTP,-95.30797305,45.19271965,-95.3057899,45.1942961,-0.00218315,-0.00157645,done,45.19271965,-95.30797305,
27033POTW01,Windom WWTP,-95.10772324,43.86017227,-95.1077232,43.8601722,-4.00E-08,7.00E-08,don't check,,,
27147POTW02,Medford WWTP,-93.24865529,44.17891662,-93.22613992,44.17463314,-0.02251537,0.00428348,done,44.17891662,-93.24865529,
27055POTW05,Brownsville WWTP,-91.27799386,43.69201,-91.28921982,43.68999581,0.01122596,0.00201419,done,43.69201,-91.27799386,
27037POTW01,Northfield WWTP,-93.14881238,44.47570882,-93.1488123,44.4757088,-8.00E-08,2.00E-08,don't check,,,
27033POTW02,Delft Sanitary District WWTP,-95.08642908,43.99237656,-95.02800856,43.96227152,-0.05842052,0.03010504,done,"43.991784906935386,",-95.09064207,
27039POTW01,Dodge Center WWTP,-92.85881473,44.03942905,-92.8588147,44.039429,-3.00E-08,5.00E-08,don't check,,,
27091POTW02,Truman WWTP,-94.42542344,43.82758879,-94.4252583,43.8253529,-1.65E-04,0.00223589,check,,,Cant find
27129POTW05,Hector WWTP,-94.69445641,44.74509846,-94.694865,44.7460066,4.09E-04,-9.08E-04,don't check,,,
27097POTW02,Little Falls WWTP,-94.36857616,45.96585397,-94.3685761,45.9658539,-6.00E-08,7.00E-08,don't check,,,
27127POTW04,Wabasso WWTP,-95.2513948,44.40436295,-95.251405,44.4043596,1.02E-05,3.35E-06,don't check,,,
27137POTW15,Central Iron Range Sanitary Sewer District WWTP,-92.86716885,47.48483746,-92.8310354,47.5858248,-0.03613345,-0.10098734,done,"47.47961837782655,",-92.84230633,
27145POTW10,Avon WWTP,-94.44087319,45.62861756,-94.444386,45.6161608,0.00351281,0.01245676,done,45.62861756,-94.44087319,
27165POTW05,La Salle WWTP,-94.56692886,44.07105902,-94.56689447,44.0744636,-3.44E-05,-0.00340458,done,"44.07255032670239,",-94.56748477,
27171POTW08,Delano WWTP,-93.78455872,45.05192373,-93.78454275,45.05195057,-1.60E-05,-2.68E-05,don't check,,,
27035POTW01,Brainerd WWTP,-94.22622641,46.33846077,-94.23368208,46.33740994,0.00745567,0.00105083,done,"46.33766079224198,",-94.22806296,
27037POTW02,Vermillion WWTP,-92.96438888,44.67781071,-92.9643888,44.6778107,-8.00E-08,1.00E-08,don't check,,,
27059POTW02,Braham WWTP,-93.17740278,45.72164001,-93.1771329,45.7219366,-2.70E-04,-2.97E-04,don't check,,,
27085POTW01,Brownton WWTP,-94.34217072,44.73334503,-94.34217,44.73334539,-7.20E-07,-3.60E-07,don't check,,,
27043POTW01,Winnebago WWTP,-94.18699879,43.76941188,-94.1869919,43.7693398,-6.89E-06,7.21E-05,don't check,,,
27097POTW04,Motley WWTP,-94.63903535,46.33746428,-94.6390491,46.3374734,1.37E-05,-9.12E-06,don't check,,,
27127POTW03,Walnut Grove WWTP,-95.45812652,44.22483153,-95.4581265,44.2248315,-2.00E-08,3.00E-08,don't check,,,
27137POTW14,Crane Lake WWTP,-92.4806036,48.25566577,-92.48073523,48.25920641,1.32E-04,-0.00354064,done,"48.256008004863496,",-92.4821915,
27153POTW03,Long Prairie WWTP - Municipal,-94.86529211,45.99448888,-94.8652921,45.9944888,-1.00E-08,8.00E-08,don't check,,,
27165POTW02,Madelia WWTP,-94.40678213,44.03447008,-94.40438232,44.0335483,-0.00239981,9.22E-04,done,44.03447008,-94.40678213,
27171POTW02,Monticello WWTP,-93.77659364,45.29854791,-93.7765936,45.2985479,-4.00E-08,1.00E-08,don't check,,,
27035POTW03,Crosslake WWTP,-94.11162357,46.66215605,-94.10229629,46.6884199,-0.00932728,-0.02626385,done,"46.6611334027944,",-94.11047211,
27061POTW05,Coleraine-Bovey-Taconite Joint WWTP,-93.40455484,47.28571981,-93.4207176,47.29933738,0.01616276,-0.01361757,done,47.28571981,-93.40455484,
27147POTW01,Blooming Prairie WWTP,-93.04422774,43.86250309,-93.044241,43.8624934,1.33E-05,9.69E-06,don't check,,,
27039POTW02,Hayfield WWTP,-92.85798371,43.8891642,-92.8579837,43.8891565,-1.00E-08,7.70E-06,don't check,,,
27065POTW01,Mora WWTP,-93.31502395,45.87704741,-93.29547053,45.87650694,-0.01955342,5.40E-04,done,45.87704741,-93.31502395,
27085POTW06,Glencoe WWTP,-94.13383126,44.76577222,-94.13425775,44.76570666,4.26E-04,6.56E-05,don't check,,,
27045POTW07,Canton WWTP,-91.93409146,43.53557017,-91.9340987,43.5355649,7.24E-06,5.27E-06,don't check,,,
27109POTW01,Stewartville WWTP,-92.47869565,43.87102306,-92.4787066,43.8700701,1.09E-05,9.53E-04,don't check,,,
27129POTW06,Morton WWTP,-94.98562814,44.54740201,-95.03425,44.58091,0.04862186,-0.03350799,done,44.54740201,-94.98562814,
27097POTW03,Randall WWTP,-94.49427603,46.09423313,-94.494276,46.0942331,-3.00E-08,3.00E-08,don't check,,,
27145POTW04,Holdingford WWTP,-94.44969177,45.72411346,-94.44969558,45.72411236,3.81E-06,1.10E-06,don't check,,,
27153POTW02,Staples WWTP,-94.78393064,46.36227219,-94.7839306,46.3622721,-4.00E-08,9.00E-08,don't check,,,
27165POTW03,Saint James WWTP,-94.61176461,43.98961695,-94.6119393,43.9896023,1.75E-04,1.46E-05,don't check,,,
27039POTW07,Claremont WWTP,-92.97232146,44.04111277,-92.972333,44.0411211,1.15E-05,-8.33E-06,don't check,,,
27061POTW08,Effie WWTP,-93.64683616,47.84199415,-93.6468367,47.8419953,5.40E-07,-1.15E-06,don't check,,,
27045POTW05,Chatfield WWTP,-92.18647509,43.83900938,-92.186475,43.8390093,-9.00E-08,8.00E-08,don't check,,,
27111POTW04,Fergus Falls WWTP,-96.11170169,46.28179083,-96.1117011,46.2817807,-5.90E-07,1.01E-05,don't check,,,
27129POTW02,Olivia WWTP,-95.01290435,44.76664398,-95.0121482,44.7670612,-7.56E-04,-4.17E-04,don't check,,,
27141POTW02,Becker WWTP,-93.85347571,45.39387273,-93.87265382,45.39378487,0.01917811,8.79E-05,done,"45.39647838816344,",-93.86141656,
27137POTW04,Ely WWTP,-91.87316582,47.91124507,-91.9260354,47.8891481,0.05286958,0.02209697,done,"47.909258182239796,",-91.87156738,
27145POTW13,Lake Henry WWTP,-94.79948269,45.46774194,-94.7994826,45.4677419,-9.00E-08,4.00E-08,don't check,,,
27171POTW12,Montrose WWTP,-93.90644893,45.05744432,NA,NA,NA,NA,done,45.05744432,-93.90644893,
